# ME required during pregnancy by ewes, in addition to maternal requirements, for a lamb birth weight of 4 kg (MJ ME/d).
#
# Source: Beef + Lamb New Zealand, "Making every mating count", Appendix 3.5.
# https://beeflambnz.com/sites/default/files/2026-06/Making-every-mating-count.pdf
# Read 2026-08-18; SHA-256 in sources.toml.
#
# The published table is non-monotonic: 2 weeks before term reads 0.8, lower than
# the 2.6 at 4 weeks. It is preserved exactly. Correcting a source because it
# looks wrong is how a transcription error becomes a finding.
weeks_before_term,foetus_count,lamb_birthweight_reference_kg,additional_me_mj_per_day,status,source_id
12,1,4,0.4,direct,blnz_mating
8,1,4,1.1,direct,blnz_mating
6,1,4,1.7,direct,blnz_mating
4,1,4,2.6,direct,blnz_mating
2,1,4,0.8,direct,blnz_mating
0,1,4,5.3,direct,blnz_mating
# Source note: add 75% of these values for each additional foetus carried.
